Open,High,Low,Close,Volume,rsi,macd,macd_signal,macd_hist,adx,market_conditions_neutral,market_conditions_overbought,market_conditions_oversold,market_conditions_trending,price_direction
117.87,121.12,116.62,119.0,7873300,64.24437721742228,3.1968818975139044,2.8618083730720576,0.3350735244418468,21.986911080632996,0,0,1,0,38.53057958927657
119.62,122.0,118.25,119.5,6803800,64.86666088131318,3.413631529426155,2.972173004342877,0.4414585250832781,22.850250986692256,0,0,1,0,40.96946931111742
119.94,121.0,115.75,118.25,8489700,61.96328554650178,3.444832733580469,3.0667049501903954,0.3781277833900738,22.700431647362443,0,0,1,0,41.17201476571252
120.94,123.31,117.5,119.62,10956600,63.87191582911582,3.539308517649161,3.1612256636821483,0.3780828539670127,23.070594953974815,0,0,1,0,42.45405799409896
119.69,119.75,115.0,115.75,7643900,55.41315453644325,3.2642760576728023,3.181835742480279,0.08244031519252326,22.54737501017832,0,0,1,0,38.77020579152355
115.56,122.0,112.69,119.5,8634500,60.82681151695534,3.3107403576038905,3.207616665505001,0.10312369209888939,21.348105215790014,0,0,1,0,36.715656767324134
123.0,124.75,119.0,119.0,17783400,59.784503603042694,3.2695287366655066,3.2199990797371023,0.049529656928404275,20.90503767269433,0,0,1,0,31.78890615954824
121.87,123.0,119.94,121.5,7868700,63.18169103711685,3.3994110423500814,3.255881472259698,0.14352957009038336,20.493617811248335,0,0,1,0,26.15458942291593
121.87,122.87,116.56,121.5,6499200,63.181691037116835,3.462430956577606,3.2971913691232797,0.1652395874543262,19.088963573081205,0,0,1,0,29.70499571769221
116.75,119.5,116.0,119.12,6936900,57.79158855249506,3.282490080754968,3.2942511114496176,-0.0117610306946494,17.82259777715461,0,0,1,0,23.16453873096619
119.06,119.94,116.0,116.75,4895100,52.94754869416951,2.915043638663107,3.2184096168923153,-0.3033659782292082,16.582982830175514,0,0,1,0,17.55599773413298
118.0,118.44,111.62,113.5,8324600,47.1154350310109,2.3346791197744636,3.041663517468745,-0.7069843976942813,16.52762617101647,0,0,1,0,2.450260846183834
112.75,114.19,110.06,111.56,6669400,43.99988510070897,1.6986137090238174,2.7730535557797595,-1.0744398467559422,16.82804039399315,0,0,1,0,-16.72581182181518
111.37,112.81,109.62,112.25,6202700,45.38322718556369,1.235957176851386,2.465634279994085,-1.229677103142699,17.20585153110242,0,0,1,0,-25.04239484224265
112.37,113.44,109.12,110.0,7304700,41.760585646054544,0.679904826267844,2.1084883892488366,-1.4285835629809926,17.32799970535921,0,0,1,0,-32.61745636144164
112.0,115.81,110.37,113.5,7707700,48.62986117641455,0.5157053512947698,1.7899317816580234,-1.2742264303632536,16.625894914546183,0,0,1,0,-33.29127833753986
115.0,117.5,114.06,117.12,6213800,54.59502757930833,0.6699569837085306,1.565936822068125,-0.8959798383595943,15.44667539605189,0,0,1,0,-30.317782244196696
118.19,118.44,114.81,115.62,5405300,51.90540242272851,0.6635164451870281,1.3854527466919055,-0.7219363015048774,14.617519857698678,0,0,1,0,-26.821361449702138
116.0,116.87,113.12,114.12,5779500,49.29032224222015,0.5312508785939656,1.2146123730723175,-0.6833614944783519,13.82626545697228,0,0,1,0,-30.08357134876355
116.94,119.0,116.19,118.81,5464300,56.64520639973948,0.7957009232450645,1.130830083106867,-0.3351291598618025,13.236365909093285,0,0,1,0,-21.21610279464025
119.0,119.75,117.0,117.37,5374700,54.052945645654816,0.8789515175073745,1.0804543699869684,-0.20150285247959387,12.906326273875226,0,0,1,0,-14.127465503258199
117.69,119.12,116.87,119.12,4446600,56.64934461937453,1.0737609401629413,1.079115684022163,-0.005354743859221633,12.553394718029372,0,0,1,0,1.3974879782896543
119.06,119.44,114.56,115.37,5749400,50.11423652535695,0.9150075141504885,1.0462940500478282,-0.13128653589733963,11.880747316644705,0,0,1,0,11.519249536321272
116.0,116.37,114.5,116.06,4544000,51.22909868160983,0.8352433483099588,1.0040839097002543,-0.16884056139029546,11.275989350461513,0,0,1,0,19.361811469039644
115.87,117.44,113.87,117.12,5177500,52.96801744797257,0.8477900178273785,0.9728251313256792,-0.12503511349830065,10.612317095502863,0,0,1,0,24.920305943982317
116.5,117.31,115.25,115.75,3966900,50.46365820051976,0.7386708555652177,0.9259942761735869,-0.18732342060836915,9.996050001612689,0,0,1,0,23.263453689878247
116.5,118.87,115.75,116.75,5237500,52.23875746092796,0.7245328127037993,0.8857019834796294,-0.16116917077583004,9.99167297914679,0,0,1,0,19.286680676769574
115.25,115.94,111.5,112.5,7673400,44.87824299006226,0.36616787527444217,0.7817951618385919,-0.4156272865641497,10.077835284813634,0,0,1,0,8.444538534050169
112.0,113.44,108.75,111.0,7654800,42.59695108176875,-0.03843334778586893,0.6177494599136997,-0.6561828076995686,10.907131646768878,0,0,1,0,-9.71167492211291
